model,sample_count,stage,eval_scope,accuracy,macro_f1,precision_contradiction,recall_contradiction,precision_entailment,recall_entailment
raw_clip,542,midscale,comparison_subset,0.6291512915129152,0.6219116468093524,0.7563636363636363,0.6081871345029239,0.49812734082397003,0.665
linear_probe,542,midscale,comparison_subset,0.8708487084870848,0.8632201312279184,0.9146341463414634,0.8771929824561403,0.8037383177570093,0.86
cross_attention,542,midscale,comparison_subset,0.9428044280442804,0.9396988892278428,0.9814241486068112,0.9269005847953217,0.8858447488584474,0.97
qwen,542,midscale,comparison_subset,0.7158671586715867,0.7158516823944333,0.9607843137254902,0.5730994152046783,0.5680473372781065,0.96
