model,sample_count,stage,eval_scope,accuracy,macro_f1,precision_contradiction,recall_contradiction,precision_entailment,recall_entailment
raw_clip,360,prototype,comparison_subset,0.6083333333333333,0.6061177456526294,0.6274509803921569,0.5333333333333333,0.5942028985507246,0.6833333333333333
linear_probe,360,prototype,comparison_subset,0.7666666666666667,0.7662048490846116,0.7448979591836735,0.8111111111111111,0.7926829268292683,0.7222222222222222
cross_attention,360,prototype,comparison_subset,0.9027777777777778,0.9027169758877076,0.9239766081871345,0.8777777777777778,0.8835978835978836,0.9277777777777778
qwen,360,prototype,comparison_subset,0.7527777777777778,0.7415607985480943,0.9333333333333333,0.5444444444444444,0.6784313725490196,0.9611111111111111
